Wildwalker	1176
Thistle Tea	1173
Kun the Forgotten King	1172
Greater Healing Potion	1166
Gelbin Mekkatorque	1162
Lowly Squire	1161
Devolve	1154
Polymorph: Boar	1153
Astral Communion	1153
Lotus Agents	1148
Fist of Jaraxxus	1140
Mana Wraith	1140
Grand Crusader	1138
Argent Lance	1136
Alley Armorsmith	1133
Trogg Beastrager	1133
Everyfin is Awesome	1132
Malorne	1131
Felfire Potion	1130
Skycap'n Kragg	1124
Small-Time Recruits	1121
Millhouse Manastorm	1119
Bolvar Fordragon	1115
Light's Justice	1107
Seal of Light	1104
Eye for an Eye	1099
Kabal Songstealer	1098
Zoobot	1097
Mimiron's Head	1096
Gahz'rilla	1091
Silent Knight	1087
Tentacle of N'Zoth	1082
Rumbling Elemental	1082
Moroes	1081
Grimestreet Smuggler	1080
Vitality Totem	1073
Usher of Souls	1060
Hogger Doom of Elwynn	1052
Ethereal Peddler	1046
Scaled Nightmare	1043
Cutpurse	1023
Saboteur	1020
Tiny Knight of Evil	1013
Shady Dealer	1012
Bladed Cultist	1010
Blood Warriors	1004
Crush	989
Pit Fighter	983
Nerub'ar Weblord	975
Captain's Parrot	970
Spawn of Shadows	965
Wobbling Runts	961
Convert	956
Lost Tallstrider	954
Undercity Valiant	948
Divine Strength	948
Elite Tauren Chieftain	942
Shaku the Collector	937
Axe Flinger	930
Naga Sea Witch	928
Violet Illusionist	928
Siltfin Spiritwalker	915
Twisted Worgen	914
Demented Frostcaller	910
Kabal Lackey	891
Warbot	886
Herald Volazj	881
Reliquary Seeker	879
Goblin Sapper	878
Dust Devil	877
Menagerie Magician	872
Anub'ar Ambusher	864
Moat Lurker	864
Dalaran Aspirant	862
Avian Watcher	852
Confuse	843
Stoneskin Gargoyle	841
Servant of Yogg-Saron	840
Addled Grizzly	827
Grimestreet Informant	826
Wrathion	826
Smuggler's Crate	823
Shatter	822
Patient Assassin	813
Grimy Gadgeteer	811
Shadowfiend	810
Armored Warhorse	808
Arcane Anomaly	808
Gnomeregan Infantry	805
Volcanic Lumberer	799
Knight of the Wild	796
Sacred Trial	788
Dart Trap	785
Dragon's Breath	785
Soot Spewer	784
Magma Rager	782
Savagery	782
Mark of the Lotus	780
Power Word: Tentacles	779
Midnight Drake	771
Arcanosmith	771
Bolf Ramshield	767
Renounce Darkness	766
Mukla Tyrant of the Vale	762
Pantry Spider	762
Kabal Crystal Runner	760
Shadowbomber	756
Mech-Bear-Cat	753
Evolved Kobold	751
Icehowl	744
Potion of Polymorph	733
Shado-Pan Rider	733
Grimestreet Protector	726
Runic Egg	722
Purify	717
Crystalweaver	715
Mana Geode	714
Call Pet	713
Naga Corsair	709
Kabal Trafficker	696
Anima Golem	696
Fight Promoter	695
Scarlet Purifier	693
Mekgineer Thermaplugg	684
Kidnapper	680
Salty Dog	678
Wisps of the Old Gods	675
King of Beasts	671
Captured Jormungar	668
Upgraded Repair Bot	665
Zealous Initiate	660
Protect the King!	659
Fool's Bane	652
Mogor the Ogre	650
Flying Machine	638
Spreading Madness	634
Wilfred Fizzlebang	632
Fearsome Doomguard	628
Cho'gall	622
One-eyed Cheat	622
Cogmaster's Wrench	620
DOOM!	610
Fel Cannon	607
Dragonhawk Rider	607
Wicked Witchdoctor	595
Blood of The Ancient One	587
Squirming Tentacle	584
Junkbot	584
Nat the Darkfisher	584
Screwjank Clunker	578
Forbidden Ancient	577
Auctionmaster Beardo	575
Metaltooth Leaper	573
Hobart Grapplehammer	572
Burgly Bully	558
Krul the Unshackled	555
Silvermoon Portal	554
Bloodfury Potion	553
Blackwater Pirate	549
Grimscale Chum	547
Sergeant Sally	531
Frigid Snobold	531
Getaway Kodo	527
Siege Engine	517
Stolen Goods	513
Ogre Ninja	507
