Brawl##Execute	0.3802740599107712	11933.0	12376.0	19004.0
Consecration##Tirion Fordring	0.37951657801174105	13770.0	21141.0	15142.0
Mechwarper##Tinkertown Technician	0.37939543491671807	4305.0	6630.0	4717.0
Power Word: Shield##Shadow Word: Pain	0.37930425569486137	15036.0	21801.0	17840.0
Execute##Shield Slam	0.37726582442082135	11676.0	19004.0	11945.0
Mechwarper##Spider Tank	0.37533990482664853	4417.0	6630.0	5138.0
Fan of Knives##Preparation	0.37495042436741494	9454.0	14118.0	11096.0
Tirion Fordring##Truesilver Champion	0.37482563387215884	13704.0	15142.0	21419.0
Druid of the Claw##Innervate	0.3741349755571075	11786.0	12717.0	18785.0
Dragonfire Potion##Drakonid Operative	0.37381316998468606	2441.0	3579.0	2951.0
Dark Arakkoa##Klaxxi Amber-Weaver	0.37377597325053735	1565.0	2591.0	1596.0
Beckoner of Evil##Twin Emperor Vek'lor	0.37299333168683624	6041.0	8912.0	7284.0
Heroic Strike##Mortal Strike	0.3727663798808736	2253.0	3174.0	2870.0
C'Thun's Chosen##Twin Emperor Vek'lor	0.3726321196943428	5803.0	8289.0	7284.0
Fan of Knives##SI:7 Agent	0.37249283667621774	10530.0	14118.0	14151.0
Eaglehorn Bow##Freezing Trap	0.3716647273602696	9263.0	14527.0	10396.0
Darkshire Councilman##Forbidden Ritual	0.3713670613562971	2415.0	3610.0	2893.0
Coldlight Seer##Murloc Tidehunter	0.3708141321044547	2414.0	2764.0	3746.0
Preparation##Sap	0.3705814401232191	9624.0	11096.0	14874.0
Enchanted Raven##Mark of Y'Shaarj	0.3704485488126649	1404.0	1662.0	2128.0
Blade Flurry##Deadly Poison	0.3703053516331525	6961.0	7166.0	11632.0
Fiery War Axe##Shield Block	0.3696269377093862	13019.0	21674.0	13548.0
Grimestreet Enforcer##Smuggler's Run	0.36820652173913043	1355.0	1564.0	2116.0
Flamestrike##Polymorph	0.3680773249738767	11272.0	18251.0	12373.0
Dispatch Kodo##Rat Pack	0.36807511737089205	784.0	1067.0	1063.0
Jade Chieftain##Jade Lightning	0.36764705882352944	1700.0	1721.0	2903.0
Cat Trick##Cloaked Huntress	0.36739350912778906	1449.0	1891.0	2053.0
Equality##Tirion Fordring	0.3671684360640152	11586.0	16413.0	15142.0
Arcanite Reaper##Heroic Strike	0.3669567510548523	2783.0	4410.0	3174.0
Cogmaster##Mechwarper	0.36578607057084794	3960.0	4196.0	6630.0
Backstab##Preparation	0.36569489647531334	10562.0	17786.0	11096.0
Eaglehorn Bow##Savannah Highmane	0.3656925396711424	10186.0	14527.0	13327.0
Dispatch Kodo##Shaky Zipgunner	0.36454372623574144	767.0	1067.0	1037.0
Jade Chieftain##Jade Claws	0.36435941530524507	1695.0	1721.0	2931.0
Deadly Poison##Eviscerate	0.364290952730182	10928.0	11632.0	18366.0
Heroic Strike##Upgrade!	0.36426569968683037	2210.0	3174.0	2893.0
C'Thun's Chosen##Twilight Elder	0.3629518072289157	5543.0	8289.0	6983.0
Fiery Bat##Infested Wolf	0.3623367273475265	3523.0	4971.0	4752.0
Bloodsail Raider##Dread Corsair	0.36229734025643745	3419.0	4586.0	4851.0
Disciple of C'Thun##Twilight Elder	0.3620595216359321	5949.0	9448.0	6983.0
Holy Nova##Shadow Word: Pain	0.3618891457448524	13463.0	19362.0	17840.0
Eviscerate##Preparation	0.3613128776050506	10645.0	18366.0	11096.0
Houndmaster##Kill Command	0.3610548472933794	9091.0	9931.0	15248.0
Savannah Highmane##Unleash the Hounds	0.36100337115307934	9959.0	13327.0	14260.0
